"materialsar","materialsen","quantityar","quantityen","quarterar","quarteren","yearar","yearen","average_pricesar","average_pricesen"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q1","Q1","2011","2011","12.67","12.67"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q1","Q1","2011","2011","11.67","11.67"
"اسمنت ابيض","Cement White Cement","","","Q1","Q1","2011","2011","32.67","32.67"
"الجير","Lime","","","Q1","Q1","2011","2011","20.17","20.17"
"الجبس","Gypsum","","","Q1","Q1","2011","2011","11.94","11.94"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q1","Q1","2011","2011","1050","1050"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q1","Q1","2011","2011","1050","1050"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q1","Q1","2011","2011","1075","1075"
"الرمـــل / ابيض","Sand / White","","","Q1","Q1","2011","2011","1050","1050"
"الرمـــل / اسود","Sand / Black","","","Q1","Q1","2011","2011","934.72","934.72"
"الرمـــل / احمر","Sand / Red","","","Q1","Q1","2011","2011","779.17","779.17"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q1","Q1","2011","2011","2.09","2.09"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q1","Q1","2011","2011","2.32","2.32"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q1","Q1","2011","2011","2.45","2.45"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q1","Q1","2011","2011","3.22","3.22"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q1","Q1","2011","2011","3.67","3.67"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q1","Q1","2011","2011","3.79","3.79"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q1","Q1","2011","2011","227.5","227.5"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q1","Q1","2011","2011","233.33","233.33"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q1","Q1","2011","2011","2830.83","2830.83"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q1","Q1","2011","2011","2841.67","2841.67"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q1","Q1","2011","2011","85.67","85.67"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q1","Q1","2011","2011","110","110"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q1","Q1","2011","2011","148.17","148.17"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q2","Q2","2011","2011","14","14"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q2","Q2","2011","2011","12.61","12.61"
"اسمنت ابيض","Cement White Cement","","","Q2","Q2","2011","2011","32.11","32.11"
"الجير","Lime","","","Q2","Q2","2011","2011","21","21"
"الجبس","Gypsum","","","Q2","Q2","2011","2011","13","13"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q2","Q2","2011","2011","1050","1050"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q2","Q2","2011","2011","1050","1050"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q2","Q2","2011","2011","1025","1025"
"الرمـــل / ابيض","Sand / White","","","Q2","Q2","2011","2011","1033.33","1033.33"
"الرمـــل / اسود","Sand / Black","","","Q2","Q2","2011","2011","950","950"
"الرمـــل / احمر","Sand / Red","","","Q2","Q2","2011","2011","770.83","770.83"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q2","Q2","2011","2011","2.04","2.04"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q2","Q2","2011","2011","2.26","2.26"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q2","Q2","2011","2011","2.4","2.4"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q2","Q2","2011","2011","3.24","3.24"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q2","Q2","2011","2011","3.54","3.54"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q2","Q2","2011","2011","3.63","3.63"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q2","Q2","2011","2011","227.08","227.08"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q2","Q2","2011","2011","233.61","233.61"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q2","Q2","2011","2011","2819.44","2819.44"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q2","Q2","2011","2011","2823.61","2823.61"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q2","Q2","2011","2011","83.64","83.64"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q2","Q2","2011","2011","112.78","112.78"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q2","Q2","2011","2011","143.64","143.64"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q3","Q3","2011","2011","12.75","12.75"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q3","Q3","2011","2011","12.31","12.31"
"اسمنت ابيض","Cement White Cement","","","Q3","Q3","2011","2011","34","34"
"الجير","Lime","","","Q3","Q3","2011","2011","19.5","19.5"
"الجبس","Gypsum","","","Q3","Q3","2011","2011","13.56","13.56"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q3","Q3","2011","2011","1025","1025"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q3","Q3","2011","2011","1025","1025"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q3","Q3","2011","2011","1079.17","1079.17"
"الرمـــل / ابيض","Sand / White","","","Q3","Q3","2011","2011","1054.17","1054.17"
"الرمـــل / اسود","Sand / Black","","","Q3","Q3","2011","2011","920.83","920.83"
"الرمـــل / احمر","Sand / Red","","","Q3","Q3","2011","2011","754.17","754.17"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q3","Q3","2011","2011","1.94","1.94"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q3","Q3","2011","2011","2.16","2.16"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q3","Q3","2011","2011","2.35","2.35"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q3","Q3","2011","2011","2.98","2.98"
"طابوق أسمنتي / مصمت - 6 سم","Solid - 6 cm","","","Q3","Q3","2011","2011","3.22","3.22"
"طابوق أسمنتي / مصمت - 8 سم","Solid - 8 cm","","","Q3","Q3","2011","2011","3.58","3.58"
"خرسانة جاهـزة / بورتلاند عادي نيوتن 40","Concrete Ready Mix / Normal - neutin 40","","","Q3","Q3","2011","2011","225.83","225.83"
"خرسانة جاهـزة / مقاوم للاملاح نيوتن 40","Concrete Ready Mix / Sulphate Resistance - neutin 40","","","Q3","Q3","2011","2011","230.83","230.83"
"حديد مبروم 8-6  ملم","Steel Bars 6-8 mm","","","Q3","Q3","2011","2011","2818.33","2818.33"
"حديد مبروم25 -10  ملم","steel Bars 10 - 25","","","Q3","Q3","2011","2011","2818.75","2818.75"
"شبك حديد للأرضيات  6 ملم","B.R.C. Mesh  6 m.m","","","Q3","Q3","2011","2011","86.25","86.25"
"شبك حديد للأرضيات  7 ملم","B.R.C. Mesh  7 m.m","","","Q3","Q3","2011","2011","116.67","116.67"
"شبك حديد للأرضيات  8 ملم","B.R.C. Mesh 8 m.m","","","Q3","Q3","2011","2011","150.42","150.42"
"اسمنت مقاوم للاملاح","Cement sulphate Resistance","","","Q4","Q4","2011","2011","12.67","12.67"
"اسمنت عادي بورتلاند","Cement Portland Cement","","","Q4","Q4","2011","2011","12.5","12.5"
"اسمنت ابيض","Cement White Cement","","","Q4","Q4","2011","2011","34.33","34.33"
"الجير","Lime","","","Q4","Q4","2011","2011","19.17","19.17"
"الجبس","Gypsum","","","Q4","Q4","2011","2011","13.39","13.39"
"بحص كونكري مكسر 3/4 انش","Aggreates 3/4","","","Q4","Q4","2011","2011","1000","1000"
"بحص كونكري مكسر 3/8 انش","Aggreates 3/8","","","Q4","Q4","2011","2011","1000","1000"
"بحص كونكري مكسر 3/16 انش ","Aggreates 3/16","","","Q4","Q4","2011","2011","1062.5","1062.5"
"الرمـــل / ابيض","Sand / White","","","Q4","Q4","2011","2011","1000","1000"
"الرمـــل / اسود","Sand / Black","","","Q4","Q4","2011","2011","875","875"
"الرمـــل / احمر","Sand / Red","","","Q4","Q4","2011","2011","825","825"
"طابوق أسمنتي / مفرغ - 4 سم","Hollow - 4 cm","","","Q4","Q4","2011","2011","1.93","1.93"
"طابوق أسمنتي / مفرغ - 6 سم","Hollow - 6 cm","","","Q4","Q4","2011","2011","2.13","2.13"
"طابوق أسمنتي / مفرغ - 8 سم","Hollow - 8 cm","","","Q4","Q4","2011","2011","2.31","2.31"
"طابوق أسمنتي / مصمت - 4 سم ","Solid - 4 cm","","","Q4","Q4","2011","2011","2.99","2.99"
